Risk,Impact,Base Score,Base Score-Value,Motive Likelihood,Threat Agent,Attack Vector,Target,1_Hop,2_Hops,3_Hops,4_Hops
M,M,H,8.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Doctor's workstation
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Doctor's workstation
M,M,H,8.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Doctor's workstation
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Doctor's workstation
M,M,H,8.1,L,Business Competitor,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Doctor's workstation
M,M,H,8.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Doctor's workstation
M,M,H,8.1,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Doctor's workstation
M,M,H,8.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Doctor's workstation
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Hospital main router
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Hospital main router
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Hospital main router
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Hospital main router
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Hospital main router
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Hospital main router
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Light Controller 1
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Light Controller 1
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Support workstation
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Support workstation
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Access Point
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Access Point
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Access Point
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Access Point
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Access Point
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,IP Surveillance camera,Access Point
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,IP Surveillance camera
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,IP Surveillance camera
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,IP Surveillance camera
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Hospital main router
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Hospital main router
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Hospital main router
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Hospital main router
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Hospital main router
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Hospital main router
M,M,M,6.8,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Smart lighting system 2
M,M,M,6.8,L,Nation State (Hospital),A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Smart lighting system 2
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Support workstation
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Light Controller 1,Support workstation
M,M,C,10.0,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Smart Bed
M,M,C,10.0,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Smart Bed
M,M,C,10.0,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Smart Bed
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,IP Surveillance camera
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,IP Surveillance camera
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,IP Surveillance camera
M,M,H,8.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Doctor's workstation
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Doctor's workstation
M,M,H,8.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Doctor's workstation
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Doctor's workstation
M,M,H,8.1,L,Business Competitor,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Doctor's workstation
M,M,H,8.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Doctor's workstation
M,M,H,8.1,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Doctor's workstation
M,M,H,8.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Doctor's workstation
M,M,C,9.1,L,Healthcare Rights Activist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Hospital main router
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Hospital main router
M,M,C,9.1,L,Business Competitor,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Hospital main router
H,M,C,9.1,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Hospital main router
M,M,C,9.1,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Hospital main router
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Hospital main router
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Light Controller 1
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Light Controller 1
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Access Point
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Access Point
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Access Point
M,M,C,9.1,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Access Point
M,M,C,9.1,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Access Point
M,M,C,9.1,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Support workstation,Access Point
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Light Controller 1
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Light Controller 1
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Light Controller 1
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Light Controller 1
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Support workstation
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Support workstation
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Support workstation
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Support workstation
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,IP Surveillance camera
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Light Controller 1
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Light Controller 1
M,M,H,7.5,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Light Controller 1
M,M,H,7.5,L,Nation State (Hospital),A,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Light Controller 1
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Support workstation
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Support workstation
M,M,H,7.1,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Support workstation
M,M,H,7.1,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Infusion Pump 2,Doctor's workstation,Access Point,Support workstation
L,VL,H,7.2,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Smart Bed
L,VL,H,7.2,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Smart Bed
L,VL,H,7.2,L,Nation State (Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Smart Bed
L,VL,M,5.4,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Doctor's workstation
L,VL,M,4.4,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Doctor's workstation
L,VL,M,5.4,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Doctor's workstation
L,VL,M,4.4,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Doctor's workstation
L,VL,M,5.4,L,Business Competitor,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Doctor's workstation
M,VL,M,5.4,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Doctor's workstation
L,VL,M,5.4,L,Cyber Terrorist,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Doctor's workstation
L,VL,M,5.4,L,Nation State (Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Doctor's workstation
L,VL,M,6.5,L,Healthcare Rights Activist,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Hospital main router
L,VL,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Hospital main router
L,VL,M,6.5,L,Business Competitor,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Hospital main router
M,VL,M,6.5,H,Cyber Criminal Group(Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Hospital main router
L,VL,M,6.5,L,Cyber Terrorist,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Hospital main router
L,VL,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Hospital main router
L,VL,M,4.3,L,Disgruntled Healthcare Systems Administrator,A,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Light Controller 1
L,VL,M,4.3,L,Nation State (Hospital),A,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Light Controller 1
L,VL,M,4.4,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Support workstation
L,VL,M,4.4,L,Disgruntled Healthcare Systems Administrator,L,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Support workstation
L,VL,M,6.5,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Access Point
L,VL,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Access Point
L,VL,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Access Point
L,VL,M,6.5,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Access Point
L,VL,M,6.5,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Access Point
L,VL,M,6.5,L,Nation State (Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,IP Surveillance camera,Access Point
L,VL,H,7.2,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,Support workstation,Smart Bed
L,VL,H,7.2,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,Support workstation,Smart Bed
L,VL,H,7.2,L,Nation State (Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,Support workstation,Smart Bed
VL,VL,L,3.8,L,Disgruntled Healthcare Systems Administrator,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,Support workstation,IP Surveillance camera
VL,VL,L,3.8,L,Cyber Terrorist,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,Support workstation,IP Surveillance camera
VL,VL,L,3.8,L,Nation State (Hospital),N,Smart Thermostat,Smart lighting system 2,Light Controller 1,Support workstation,IP Surveillance camera
L,VL,M,5.4,L,Disgruntled Healthcare Worker,N,Smart Thermostat,Smart lighting system 2,Light Controller 1,Support workstation,Doctor's workstation
L,VL,M,4.4,L,Disgruntled Healthcare Worker,L,Smart Thermostat,Smart lighting system 2,Light Controller 1,Support workstation,Doctor's workstation
